"Ratio,O/F","pc,Pa",Nozzleinl,Nozzleexi,"rho,kg/m^","Tc,K",M,gamma,k,"c*,m/s","Isopt,s","Isvac,s",Cfopt,Cfvac,c.factor,_1
1,4501325,0,1,0,1206.2004,20.3128,1.2595,1.154,1100.1051,176.1409,194.4946,1.5702,1.7338,1,
1,4601325,0,1,0,1207.6917,20.3284,1.2596,1.154,1100.359,176.5807,194.8481,1.5737,1.7365,1,
1,4701325,0,1,0,1209.153,20.3437,1.2597,1.154,1100.607,177.0093,195.1929,1.5772,1.7392,1,
1,4801325,0,1,0,1210.5856,20.3588,1.2597,1.154,1100.8493,177.4272,195.5293,1.5806,1.7418,1,
1,4901325,0,1,0,1211.9907,20.3736,1.2598,1.154,1101.0861,177.8347,195.8577,1.5839,1.7444,1,
1,5001325,0,1,0,1213.3693,20.3881,1.2598,1.154,1101.3177,178.2324,196.1784,1.5871,1.7469,1,
1,5101325,0,1,0,1214.7223,20.4024,1.2599,1.154,1101.5442,178.6208,196.4918,1.5902,1.7493,1,
1,5201325,0,1,0,1216.0508,20.4164,1.2599,1.154,1101.7659,179.0002,196.7982,1.5933,1.7517,1,
1,5301325,0,1,0,1217.3557,20.4302,1.26,1.154,1101.983,179.3709,197.0978,1.5962,1.754,1,
1,5401325,0,1,0,1218.6377,20.4438,1.26,1.154,1102.1956,179.7334,197.3909,1.5992,1.7563,1,
1,5501325,0,1,0,1219.8977,20.4571,1.26,1.154,1102.4039,180.0880,197.6778,1.602,1.7585,1,
1,5601325,0,1,0,1221.1364,20.4703,1.2601,1.1539,1102.6081,180.4350,197.9588,1.6048,1.7607,1,
1,5701325,0,1,0,1222.3546,20.4833,1.2601,1.1539,1102.8083,180.7747,198.234,1.6075,1.7628,1,
1,5801325,0,1,0,1223.5529,20.496,1.2601,1.1539,1103.0047,181.1074,198.5037,1.6102,1.7649,1,
1,5901325,0,1,0,1224.732,20.5086,1.2601,1.1539,1103.1974,181.4333,198.7681,1.6128,1.7669,1,
1,6001325,0,1,0,1225.8925,20.521,1.2602,1.1539,1103.3865,181.7527,199.0273,1.6154,1.7689,1,
1,6101325,0,1,0,1227.035,20.5332,1.2602,1.1539,1103.5721,182.0658,199.2816,1.6179,1.7709,1,
1,6201325,0,1,0,1228.1601,20.5453,1.2602,1.1539,1103.7544,182.3729,199.5311,1.6203,1.7728,1,
1,6301325,0,1,0,1229.2682,20.5572,1.2602,1.1538,1103.9335,182.6741,199.776,1.6228,1.7747,1,
1,6401325,0,1,0,1230.3599,20.5689,1.2602,1.1538,1104.1095,182.9697,200.0164,1.6251,1.7765,1,
1,6501325,0,1,0,1231.4357,20.5805,1.2602,1.1538,1104.2824,183.2599,200.2526,1.6275,1.7784,1,
1,6601325,0,1,0,1232.4961,20.5919,1.2602,1.1538,1104.4524,183.5448,200.4846,1.6297,1.7801,1,
1,6701325,0,1,0,1233.5414,20.6032,1.2602,1.1538,1104.6196,183.8247,200.7125,1.632,1.7819,1,
1,6801325,0,1,0,1234.5722,20.6143,1.2603,1.1538,1104.784,184.0996,200.9365,1.6342,1.7836,1,
1,6901325,0,1,0,1235.5887,20.6253,1.2603,1.1538,1104.9458,184.3697,201.1568,1.6363,1.7853,1,
1,7001325,0,1,0,1236.5915,20.6361,1.2603,1.1537,1105.105,184.6353,201.3734,1.6384,1.787,1,
1,7101325,0,1,0,1237.5809,20.6468,1.2603,1.1537,1105.2616,184.8964,201.5865,1.6405,1.7886,1,
1,7201325,0,1,0,1238.5572,20.6574,1.2603,1.1537,1105.4158,185.1531,201.7961,1.6426,1.7902,1,
1,7301325,0,1,0,1239.5208,20.6679,1.2602,1.1537,1105.5677,185.4057,202.0024,1.6446,1.7918,1,
1,7401325,0,1,0,1240.472,20.6782,1.2602,1.1537,1105.7172,185.6542,202.2054,1.6466,1.7934,1,
1,7501325,0,1,0,1241.4111,20.6884,1.2602,1.1537,1105.8646,185.8988,202.4053,1.6485,1.7949,1,
1,7601325,0,1,0,1242.3386,20.6985,1.2602,1.1536,1106.0097,186.1395,202.6021,1.6504,1.7964,1,
1,7701325,0,1,0,1243.2545,20.7085,1.2602,1.1536,1106.1527,186.3765,202.796,1.6523,1.7979,1,
1,7801325,0,1,0,1244.1593,20.7184,1.2602,1.1536,1106.2937,186.6099,202.987,1.6542,1.7994,1,
1,7901325,0,1,0,1245.0531,20.7281,1.2602,1.1536,1106.4326,186.8397,203.1751,1.656,1.8008,1,
1,8001325,0,1,0,1245.9363,20.7378,1.2602,1.1536,1106.5696,187.0661,203.3606,1.6578,1.8022,1,
1,8101325,0,1,0,1246.8092,20.7473,1.2602,1.1536,1106.7047,187.2893,203.5433,1.6596,1.8036,1,
1,8201325,0,1,0,1247.6718,20.7568,1.2602,1.1535,1106.8379,187.5091,203.7235,1.6613,1.805,1,
1,8301325,0,1,0,1248.5246,20.7661,1.2601,1.1535,1106.9693,187.7259,203.9012,1.6631,1.8064,1,
1,8401325,0,1,0,1249.3677,20.7754,1.2601,1.1535,1107.099,187.9395,204.0764,1.6648,1.8077,1,
1,8501325,0,1,0,1250.2013,20.7845,1.2601,1.1535,1107.2269,188.1502,204.2492,1.6664,1.809,1,
1,8601325,0,1,0,1251.0257,20.7936,1.2601,1.1535,1107.3532,188.3579,204.4197,1.6681,1.8103,1,
1,8701325,0,1,0,1251.8411,20.8026,1.2601,1.1534,1107.4778,188.5628,204.5878,1.6697,1.8116,1,
1,8801325,0,1,0,1252.6476,20.8115,1.2601,1.1534,1107.6008,188.7650,204.7538,1.6713,1.8129,1,
1,8901325,0,1,0,1253.4454,20.8203,1.26,1.1534,1107.7223,188.9644,204.9176,1.6729,1.8141,1,
1,9001325,0,1,0,1254.2348,20.829,1.26,1.1534,1107.8422,189.1613,205.0793,1.6745,1.8154,1,
1,9101325,0,1,0,1255.0159,20.8376,1.26,1.1534,1107.9606,189.3555,205.239,1.676,1.8166,1,
1,9201325,0,1,0,1255.7888,20.8461,1.26,1.1534,1108.0776,189.5473,205.3966,1.6775,1.8178,1,
1,9301325,0,1,0,1256.5538,20.8546,1.26,1.1533,1108.1931,189.7366,205.5523,1.679,1.819,1,
1,9401325,0,1,0,1257.3111,20.863,1.2599,1.1533,1108.3073,189.9235,205.706,1.6805,1.8202,1,
1,9500000,0,1,0,1258.0508,20.8712,1.2599,1.1533,1108.4186,190.1056,205.8558,1.6819,1.8213,1,
1.1,101325,0,1,0,1013.3939,18.1891,1.2122,1.155,1066.5232,-185252319.0732,0,0,0,1,
1.1,201325,0,1,0,1045.8984,18.4296,1.2224,1.1561,1075.838,80.2675,136.1978,0.7317,1.2415,1,
1.1,301325,0,1,0,1066.3901,18.5883,1.2285,1.1568,1081.3239,100.3986,143.3904,0.9105,1.3004,1,
1.1,401325,0,1,0,1081.5961,18.7095,1.2329,1.1574,1085.2189,112.2629,149.6692,1.0145,1.3525,1,
1.1,501325,0,1,0,1093.7731,18.8087,1.2362,1.1578,1088.2364,120.5299,154.6401,1.0862,1.3935,1,
1.1,601325,0,1,0,1103.9702,18.8931,1.2389,1.1581,1090.6966,126.8023,158.6701,1.1401,1.4266,1,
1.1,701325,0,1,0,1112.7652,18.9669,1.2411,1.1584,1092.7714,131.8170,162.0282,1.1829,1.4541,1,
1.1,801325,0,1,0,1120.5119,19.0326,1.243,1.1586,1094.5637,135.9713,164.8913,1.2182,1.4773,1,
1.1,901325,0,1,0,1127.4432,19.0921,1.2446,1.1588,1096.1401,139.5029,167.3776,1.2481,1.4974,1,
1.1,1001325,0,1,0,1133.7212,19.1464,1.246,1.159,1097.5461,142.5643,169.5687,1.2738,1.5151,1,
1.1,1101325,0,1,0,1139.4632,19.1965,1.2473,1.1591,1098.8143,145.2593,171.5234,1.2964,1.5308,1,
1.1,1201325,0,1,0,1144.7572,19.243,1.2484,1.1592,1099.9688,147.6614,173.2848,1.3165,1.5449,1,
1.1,1301325,0,1,0,1149.6707,19.2865,1.2494,1.1593,1101.0277,149.8243,174.8854,1.3345,1.5577,1,
1.1,1401325,0,1,0,1154.2569,19.3273,1.2503,1.1594,1102.0053,151.7885,176.3505,1.3508,1.5693,1,
1.1,1501325,0,1,0,1158.5583,19.3658,1.2511,1.1595,1102.9129,153.5853,177.7,1.3656,1.58,1,
1.1,1601325,0,1,0,1162.6096,19.4022,1.2518,1.1596,1103.7596,155.2394,178.9496,1.3793,1.5899,1,
1.1,1701325,0,1,0,1166.4394,19.4369,1.2525,1.1597,1104.5528,156.7702,180.1123,1.3919,1.5991,1,
1.1,1801325,0,1,0,1170.0715,19.4699,1.2532,1.1597,1105.2986,158.1938,181.1987,1.4036,1.6077,1,
1.1,1901325,0,1,0,1173.5261,19.5014,1.2537,1.1598,1106.0023,159.5233,182.2177,1.4145,1.6157,1,
1.1,2001325,0,1,0,1176.8203,19.5316,1.2543,1.1598,1106.6682,160.7695,183.1765,1.4246,1.6232,1,
1.1,2101325,0,1,0,1179.969,19.5606,1.2548,1.1598,1107.2999,161.9417,184.0815,1.4342,1.6303,1,
1.1,2201325,0,1,0,1182.9849,19.5885,1.2552,1.1599,1107.9008,163.0475,184.9381,1.4432,1.637,1,
1.1,2301325,0,1,0,1185.8791,19.6153,1.2557,1.1599,1108.4735,164.0936,185.7508,1.4517,1.6433,1,
1.1,2401325,0,1,0,1188.6615,19.6412,1.2561,1.1599,1109.0205,165.0857,186.5237,1.4598,1.6494,1,
1.1,2501325,0,1,0,1191.3406,19.6662,1.2565,1.16,1109.544,166.0288,187.2603,1.4674,1.6551,1,
1.1,2601325,0,1,0,1193.9241,19.6904,1.2568,1.16,1110.0457,166.9271,187.9635,1.4747,1.6606,1,
1.1,2701325,0,1,0,1196.4188,19.7138,1.2572,1.16,1110.5274,167.7844,188.6362,1.4816,1.6658,1,
1.1,2801325,0,1,0,1198.8308,19.7366,1.2575,1.16,1110.9906,168.6041,189.2807,1.4883,1.6708,1,
1.1,2901325,0,1,0,1201.1656,19.7586,1.2578,1.16,1111.4364,169.3891,189.8991,1.4946,1.6756,1,
1.1,3001325,0,1,0,1203.4282,19.7801,1.2581,1.16,1111.8663,170.1421,190.4934,1.5007,1.6801,1,
1.1,3101325,0,1,0,1205.623,19.8009,1.2583,1.1601,1112.2811,170.8653,191.0652,1.5065,1.6846,1,
1.1,3201325,0,1,0,1207.7541,19.8212,1.2586,1.1601,1112.6819,171.5609,191.616,1.5121,1.6888,1,
1.1,3301325,0,1,0,1209.8252,19.841,1.2588,1.1601,1113.0695,172.2308,192.1473,1.5174,1.6929,1,
1.1,3401325,0,1,0,1211.8396,19.8603,1.259,1.1601,1113.4448,172.8766,192.6603,1.5226,1.6969,1,
1.1,3501325,0,1,0,1213.8006,19.8791,1.2592,1.1601,1113.8084,173.5000,193.1562,1.5276,1.7007,1,
1.1,3601325,0,1,0,1215.711,19.8975,1.2594,1.1601,1114.1611,174.1023,193.6359,1.5324,1.7043,1,
1.1,3701325,0,1,0,1217.5733,19.9154,1.2596,1.1601,1114.5035,174.6849,194.1005,1.5371,1.7079,1,
1.1,3801325,0,1,0,1219.39,19.933,1.2598,1.1601,1114.836,175.2488,194.5508,1.5416,1.7114,1,
1.1,3901325,0,1,0,1221.1634,19.9502,1.26,1.1601,1115.1593,175.7952,194.9876,1.5459,1.7147,1,
1.1,4001325,0,1,0,1222.8954,19.967,1.2602,1.1601,1115.4738,176.3251,195.4117,1.5502,1.718,1,
1.1,4101325,0,1,0,1224.5882,19.9834,1.2603,1.1601,1115.7799,176.8393,195.8236,1.5543,1.7211,1,
1.1,4201325,0,1,0,1226.2434,19.9996,1.2605,1.1601,1116.0781,177.3387,196.2241,1.5582,1.7242,1,
1.1,4301325,0,1,0,1227.8627,20.0154,1.2606,1.1601,1116.3688,177.8241,196.6138,1.5621,1.7271,1,
1.1,4401325,0,1,0,1229.4478,20.0309,1.2607,1.16,1116.6522,178.2961,196.9931,1.5658,1.73,1,
1.1,4501325,0,1,0,1231,20.0461,1.2609,1.16,1116.9287,178.7555,197.3625,1.5695,1.7328,1,
